,importance,n,p99_high,p99_low,p_value,stddev
S16_Actual_12,0.001046316964285754,5.0,0.005314915254867732,-0.003222281326296224,0.28217605893810066,0.0020731275555678046
R32_OR1_Avg,0.001039434523809568,5.0,0.0024526554852671127,-0.0003737864376479765,0.5565438943815331,0.0006863581714324814
E8_DR1_Avg,0.0009672619047619291,5.0,0.002685340668199858,-0.0007508168586759993,0.20047513732673936,0.0008344182761300351
S16_RankAdjEM_Avg,0.0009469866071428968,5.0,0.0036035736958481552,-0.0017096004815623615,0.08691033761019185,0.0012902230480464445
Conf,0.0008874627976191022,5.0,0.004084778755872332,-0.002309853160634127,0.21959397973335001,0.0015528385117747241
DE_Seed_Avg,0.0008839285714286049,5.0,0.0022153801573760903,-0.00044752301451888053,0.1497454406671165,0.0006466452881786292
R32_Actual_6,0.00087834821428574,5.0,0.0017264953605634632,3.020106800801723e-05,0.015724224147022296,0.00041191911265204043
Tempo_Seed_Avg,0.0008679315476190682,5.0,0.0016703231954204075,6.553989981772905e-05,0.006995945979574542,0.0003896970673217455
RankAdjEM,0.0008452380952381175,5.0,0.0030658440693031273,-0.0013753678788268923,0.10978258533479834,0.001078480363225982
RankTempo,0.0008435639880952714,5.0,0.0021529076098043783,-0.000465779633613836,0.3365303358407317,0.0006359081265297544
RankAdjOE,0.0008242187500000497,5.0,0.0022455906534061747,-0.0005971531534060749,0.03517177415059466,0.0006903168344893255
